Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Latvia,,,,,15.1383108935129,13.2173171582497,14.1113747927571,16.6690055853378,17.1090727407825,15.5120604810687,14.1556417547018,13.741057306801,13.7289923719137,14.1002862918124,13.6109524653727,15.05447561016,15.8723907035812,15.6449237147643,15.0109042173352,13.4091453699305,12.771579000678,
Lebanon,,,,,,,,,,,11.9012298232129,11.8780771977299,14.4305901911887,15.3767134599505,16.0319055012634,14.9159854346837,14.730195707444,14.8073253382045,15.8940213915536,17.085502098805,,
Lesotho,39.8879693943804,42.368248309543,43.6332215522615,47.6366608866918,48.401840916275,47.8601705694414,45.4044308066992,46.2109228844391,38.2270064399645,39.353147079461,37.3776995041952,40.2457376497936,38.2663851324989,40.8942236130945,46.7175740854861,46.1859282412141,61.0181185575545,56.8941031642638,58.8582689858271,,,
Liberia,,,,,,,,,,,,,,,,0.23959182771,0.228126402974983,0.311015540856539,0.318976728159059,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,14.5550191530671,14.3874301199295,17.294186106806,17.0835718072873,16.9619986666199,17.2599652513725,17.8571083475858,17.7478055439849,17.3842300552459,13.9787725048683,13.3584740297178,
Luxembourg,,,,,,,,,,25.5029637371974,26.3752141653884,25.9406482175848,25.3749927979143,24.5545982457378,24.3971511572444,25.248063930853,24.1639978565328,24.0104658027577,23.6706842635908,24.4945902470943,24.4856861240503,
"Macao, China",,,,,,,14.1872567144395,17.3635891496288,15.6269860284488,15.7053008565722,16.567304364279,17.339245637433,18.1998314227989,20.9364286140134,22.144127878002,21.7143630971082,21.6448862327724,26.0532676116065,30.7147017453956,29.6976680155782,34.7348167121885,
"Macedonia, FYR",,,,,,,,,,,,,,,,19.2615755992164,18.9177571600861,19.4876951539635,19.0944490529436,,,
Madagascar,,,,,,,,,,,11.3260830447828,9.73894115486739,7.66963419363322,10.0089825071768,10.8775238476274,10.1056230978936,10.6709445885519,11.4329106023142,13.0043872984669,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,19.3778503209833,19.7533666432124,16.7301582344219,14.0937078196333,13.6669089031737,17.7948888050621,17.4469550876406,15.4956551225138,15.1990937626569,15.4261214099092,15.0808074284391,14.8226053657914,15.2056297627441,15.6638410560629,14.2976836316564,
Maldives,13.9623192639112,14.6140952989065,14.9589823640772,13.7345373227277,13.0045821514292,13.5963884925789,13.4521788341822,14.4455044148385,14.2002404073801,14.0915703839537,13.7961100788493,10.8457082456813,10.4716411038531,10.6334652004828,12.1543047725864,13.7404093091512,14.4417704938008,15.0245400994016,14.6965358290264,11.9035124309826,,
Mali,,,,,,,,,,,13.1520130369393,13.9488803755771,13.0013925681659,13.7661785378272,15.2884759253669,15.6560899113477,15.6626751201433,14.8817518248175,13.2743674929721,14.7482163949917,,
Malta,,,,,,,,,,,,,,24.8823332669248,26.100211795138,26.1808066615329,27.2857043553811,28.2150585031111,26.8301327406824,27.6352530969792,26.5357374400393,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,18.6947366783172,18.5351610033399,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,11.7826894954672,11.5461491162096,11.5880233550549,11.2649620972236,10.628130397666,10.6498433952436,10.7931965514921,11.2025012279627,10.1941981633662,10.7374484170144,11.6552896026751,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,12.0896172189218,18.2831986606131,18.7333174316512,15.0573270821849,14.7258544054338,12.1713376650726,12.8813543692286,14.672913689088,16.3575064848884,18.4854037391876,19.5710510216802,20.5667007882208,20.4460968019778,17.6852556677147,18.2047070940445,
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,11.0813657493787,17.5173290207141,11.3241649288739,9.77395635681234,9.60234781660849,10.572433151791,8.35867208743328,9.80581787717774,13.9101606967841,14.6620591872283,13.3692402227291,18.0387455710695,,,28.7099746783994,23.4791764783736,21.6518153602834,16.5402944035133,22.718112479338,
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,19.9317738845189,19.6351223830517,19.8713402843648,21.9662602343453,22.431653537729,25.1186450826804,27.5739556710605,23.9697846193915,23.4259732050035,
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Myanmar,6.19778414572987,5.61020629285277,5.03739654451358,4.72801035299943,4.25171345046186,3.74448720005159,3.9593171544736,4.41523918074799,3.51930951883989,2.75274845684649,2.96650687713913,2.2571405382373,2.00104706364423,2.21041192149512,3.27245647586846,3.88177848278208,,,,,,
Namibia,27.3145864167078,32.4149956408021,30.3422710984802,29.844119544184,27.1594353511735,28.414135054305,27.4059023382853,30.4817622828488,29.2798978125499,31.8976020112164,27.5296552995392,26.3951825773702,25.9757183178098,23.1756540853528,24.2869139389395,25.7606579032852,29.1451654697564,27.3342488039819,,,,
Nepal,6.99669296820608,6.62030193617176,6.48334407233372,6.6546373561321,7.72913404793448,8.98551385878864,8.71991418688458,8.72365986603116,8.63933254666024,8.42250523336725,8.73598111139219,8.80256568799984,8.56058314089016,8.65181185256516,8.97495850015557,9.17945342137588,8.77975841023477,9.7724734037072,10.4400864087645,11.8466620717715,13.3364649864963,
Netherlands,,,,,,21.9120686887614,22.6714203061719,22.2196898640416,22.166891056767,22.6280642062388,22.3301272849076,22.5939235835803,22.5206034212212,21.6379247082997,21.6291654451285,22.6372059594045,23.1938705999082,23.3750107122932,22.8360536333373,22.6278790849959,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,29.0974507968211,28.7095214935646,29.758396202453,29.7430795659456,30.7590906425661,32.6194186663219,30.8388277069251,,,,
Nicaragua,26.2658366755162,18.2393673743543,19.8495091477019,18.9808828317596,11.6691781181357,12.1999392408435,12.318922334846,13.7391881027682,14.3196973905223,13.907683187851,13.8141615951313,12.7186326608685,13.4880260706856,15.2076083184712,15.8139929956321,16.7373265634697,17.6958928913003,18.1742363320965,17.6035579318306,17.5456102011137,18.2864786207744,
Niger,,,,,,,,,,,,,,,,10.0907213753689,10.7006171697796,11.3400715110636,,,,
Nigeria,,,,,,,,,,,,,,,0.230420236137425,0.175064442991168,0.116679544052715,0.195382728813977,0.279011609156926,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,27.4352199032974,26.8792045218679,27.9331100099393,26.3094295255436,27.8063477429411,28.7254576148842,29.3969967915459,28.8042420261485,28.2662620697414,26.5639168988869,26.8767046629989,
Oman,9.36143693382893,7.50779673282246,6.99262724493301,6.14330918094139,7.12258167847919,7.4259011442917,7.53621707348666,8.76262417910528,6.79490076237971,6.68647502410056,7.16174467593237,7.3880450972859,,,,,,,,,,
Pakistan,13.3191108828184,12.2266219741051,12.9939827614246,12.826087119601,12.7520011479056,13.2486245405757,13.8154763785785,12.742472960641,12.8290938044319,13.1653200625243,10.088991145317,10.0426069860065,10.3113109619566,10.7838383738941,10.284545206344,9.6044144249761,9.42741274831255,9.83822565806761,9.85963798961222,9.2774529494998,9.99590470444044,
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,12.610103139351,13.4655871831299,13.0604992923179,12.4546720531664,12.4296926518315,13.0000885392292,11.1970478754787,11.5182467274891,10.7642350788932,11.0463238567426,10.2043801901811,9.26013127249629,,,,,,,,,,
Papua New Guinea,20.0734672648072,17.7335256268028,18.2841581813876,19.864395636005,20.5960074498671,19.7271538573296,22.4631845408922,23.7232047008306,20.4802911476754,21.7881674633561,18.9759649951725,24.6964496984504,21.0132469649522,,,,,,,,,
Paraguay,9.16648646978871,8.97868589163014,9.98988645529565,9.07934654802905,11.0344312869003,12.508016574026,11.5337104263506,11.5727994023757,11.5127464520789,10.5417672017551,10.8577795372006,10.7741909407432,10.1270007713049,10.308038825562,11.8714265670031,11.8487801003582,12.0424491506858,11.4103065741814,11.7573925555033,13.0214049286116,13.1389511662886,
Peru,10.7712108627666,11.0397692959037,11.9880655232352,12.1694119594318,12.9723489280164,13.6095350249604,14.0470397908784,14.1585694779218,13.9183681017402,12.6542837446243,12.2322286777148,12.4413936747647,12.0518972076189,12.8404436317119,13.0909512412381,13.5169375836647,15.0486880128829,15.6330945003956,15.6954475376825,13.7486429685413,14.4959789413234,
Philippines,14.0823235741067,14.6052398576615,15.4417972134402,15.6104925406438,16.0257470471348,16.2919718292863,16.9386377595512,16.9842871700876,14.1083167760748,13.3064040026905,12.8475489567751,12.5966578889827,11.8230392309249,12.1032913922912,11.8146208972157,12.427810704011,13.7112964958434,13.5351039887753,13.5888116818646,12.2304197029492,12.1468921266556,
Poland,,,,,,,,,,,,15.9884242987106,17.0080066487092,16.9585462239491,15.694433327781,16.6737177388025,17.3580772637781,18.3075742498111,18.3050919217959,16.3409673908674,,
Portugal,,,,,,19.251726701343,20.2042342289187,19.9654064079711,20.0452451382314,20.5899391040389,20.5446566795139,20.2348757465359,20.7313746916057,20.8034964386705,19.9306086228548,20.6484335448474,21.3361441393948,21.666810379449,21.5190969345244,19.5545555109802,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,25.5553435445541,21.0484784382061,20.1791535021434,20.3402145475329,16.5787018243493,19.8201126222545,,
Romania,,,,,,,,,,,,,11.7406540601544,12.2786381710207,12.3017458561567,12.2084083331367,11.3755684711176,11.8110950384181,17.8879978331571,,,
Russia,,,,,,,,,,,,,13.6491915073076,13.3140302040264,13.2340253896688,16.622909683005,16.5682157585875,16.5513130625047,15.8180678239645,12.9633160294342,13.4459588268243,
Rwanda,8.78380627032784,9.26006395908355,9.04825873576215,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,19.632841346132,19.5453590599259,19.3419454199186,20.2102254844942,20.2939691842208,,,,,,,,16.2393798851936,18.1538333608243,20.0682806487632,22.6884041086238,21.6076620248795,20.9676248710917,20.2313987458916,19.7167749995872,17.5966750789473,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,22.1429105314299,23.4779432409794,22.0295108916189,22.4293852221535,23.5235000892584,22.7936056575464,23.4969092907527,24.4031897281654,24.8893050488412,24.3627516628722,20.6316809971381,20.2878896220566,21.8471642390424,20.9217543936916,20.6102250105523,20.4720266771128,22.0084276818162,21.7685590540567,23.6134816252304,22.9178731068057,22.1490599757454,
Samoa,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,23.5180579679144,21.9686489145729,20.6981250405278,21.9880604195298,22.3701316071734,22.8453415523114,22.2648992405551,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,14.250776667352,14.7074053576416,14.7894273595515,15.5090447767523,16.1295760076734,16.1153634158383,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,23.6093441999868,23.111009858207,22.5037801228105,22.0173030201567,
Seychelles,,,,35.3599934842808,31.9671464584858,27.6340798281134,26.9378449724022,26.9649420412779,26.4361353200262,27.2180993299883,26.0808926080893,25.2572087025707,26.1380284637924,32.728990108362,35.399724596638,28.3899205984365,25.9328341445152,23.5849768746339,23.4901370838117,27.1408314744546,28.8419457045917,
Sierra Leone,5.31681336775558,7.46981989607886,10.1278234675759,11.8341798379112,12.1317186866261,9.04221993783493,7.6611861529377,9.91106072843444,7.19960126924218,6.29415872256603,10.1603881283355,12.0347690150228,11.376618724081,11.5150552292868,10.7835381515584,10.7663887734526,11.1801128608802,10.2178331753594,10.5257925070766,11.0401244806723,,
Singapore,14.567285972843,15.2756248478715,16.1405115627438,16.325544790348,16.7161024903855,15.9044017899543,16.0832918553048,15.4399720555768,14.1490503457665,14.7725795677841,15.1343212528162,14.9335512336121,12.9544453310084,12.665246988168,11.8450769145157,11.7965910740229,12.0992816646949,13.0815873318778,14.0618521458516,13.719384142756,13.7680873051471,
Slovak Republic,,,,,,,,,,,,,,17.2340170760856,15.8410137538228,14.9149156883265,13.9405048158417,14.1944237857431,13.4943443979309,12.4241717986118,,
Slovenia,,,18.7689661611361,19.7129812566145,21.4949082141464,19.7791113872916,20.2630134912642,20.5586921791495,20.9693634459618,21.9271783153469,20.4625182274265,20.4193142571093,18.8105355801648,20.7384412494901,20.4877951053944,20.5412927122698,20.9953420116775,19.647877189358,19.929313958451,18.0713580502485,17.1270546856639,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,23.9556879283642,24.8053194140807,24.1963442479886,24.0011881776326,25.3346880778479,26.8603421081777,28.3804320643287,28.8735649743126,27.932417499546,25.5357644443647,,
Spain,,,,,,15.8625238984358,16.0918424412531,15.5792276964048,15.5672084716576,15.9926337461332,16.1594445493389,15.8289235144958,12.7869216654827,12.1891001610619,11.7620760913248,12.8851266296358,13.4855387266277,13.8712736239923,10.4750929122049,8.55885774361096,11.168925767299,
Sri Lanka,19.0208338512791,18.3047979696249,17.9534568745988,17.4699988990422,17.1679756304785,17.7520171555561,16.950690509915,16.007674050544,14.4764269842611,15.0120618754318,14.5027689482572,14.6255051951688,13.5562948759716,12.7106758527447,13.4659689569891,13.7325290221471,14.5772591775899,14.2216085895166,13.2773314246342,,,
Sudan,,,,,,,,,6.19716329332189,6.38661722838147,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,25.056044327891,24.3088178303733,23.9756469190641,24.0795089970707,26.1011964178764,,,,,,,,
Sweden,,,,,,20.8424630092701,21.0802544884744,21.9373839878985,22.5155356183433,24.5029860817865,23.6495049321392,21.4560519225913,20.3708417395432,20.7081155911095,21.3499504125771,22.5860708643647,23.2560927566158,22.4244710043256,21.6522070205223,21.630670981042,,
Switzerland,8.81196509404874,8.54522334024817,8.71133078034946,8.02984213438768,8.61298793130186,8.70826951094239,9.16683858188061,9.12625913185122,10.1583123919141,9.734494660705,11.0872137862478,10.0390244845743,9.95144178837123,9.95113442407888,9.97907911391086,10.3085831957633,10.4272074030572,10.0015476644034,10.8756064303013,,,
Syria,16.7120091827912,18.0897022762578,19.3961736135403,17.460574494568,17.4698330965558,18.6290117780989,15.6427451701293,16.2976191009546,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,7.68973885367496,8.20972872475386,7.70282274237956,8.2018881308843,,9.70952974513639,9.82118344049536,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,15.4603267170533,15.91719450988,17.242838075741,16.7446565231419,16.1220728389033,16.4462925140626,15.1630344174357,15.9720018791031,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,14.389749303772,13.8848838477434,14.8105869486524,16.1950462250652,14.9089234071365,15.3698822172377,15.8005411991646,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,23.2231005594812,21.386681044921,22.7105944023751,,,,,,22.1212859407496,20.4554983123112,21.4333084153935,22.701230150516,26.3786972845196,30.2576088175177,25.9952903378909,30.2387714808044,26.2147546319721,,
Tunisia,19.9534010743641,20.3844107475392,20.4993506398751,21.0079792675442,20.7641427107969,20.4858138143774,19.8376192549157,18.4410331511459,19.18316383043,19.1311664547799,19.2923685337066,19.597497669027,19.5406246580672,18.7452117840292,18.6721938282889,18.8775047168685,18.5107559429235,19.0641272158206,20.4912073842058,20.0172543467681,20.0991792389421,
Turkey,,,,,,,,,,,,,,,,,19.6971246962356,18.7283076262562,18.5865904259682,18.911771628199,20.4751587785947,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,10.0247680063406,11.4501591138825,10.4439529546881,10.439585342062,11.1799833915401,11.2611357118555,10.6889187105462,11.7595526731609,12.2519599984198,12.3938070736427,12.9034290841627,12.1667963045742,,
Ukraine,,,,,,,,,,12.9917508808824,14.1003704357029,12.0613644154954,13.0987018156858,13.6544779929267,13.2756561345588,17.1230847294836,17.7475452675994,16.4845968884369,17.8831102804054,16.4108305185883,,
United Arab Emirates,0.378777703156481,0.331311295231654,0.434428864156856,0.295298726738492,0.714623648999352,0.849530754728708,0.97341528436019,0.992336343973077,1.07587239217888,1.1224470054107,,,,,,,,,,,,
United Kingdom,,,,,,26.3276900879081,26.2776215707294,26.7393402272013,27.7723306094964,28.0326331643468,28.441884619403,28.2160283861495,27.0559473594156,26.3429172725924,26.5706063857215,27.2447723496602,27.9591930434887,27.6376515511497,28.8448743609951,25.9893073449587,,
United States,,,,,,,,,,,,12.5094050166603,10.3752903627882,9.84933989827941,9.97618584018354,11.198327464089,11.8936278700079,11.8903894247946,10.3240142968056,8.47690202250369,9.29353880730902,
Uruguay,16.2025863999242,16.7932403160897,17.2408574744059,19.389494107735,19.0344093835043,16.8787580283368,17.3511022349298,16.7807924544678,16.9828417694613,15.2782851689813,14.6991370360034,15.305981581442,15.7776762191992,17.2060058983263,17.8462046158179,17.896921960852,18.9880555711648,18.4105090872688,18.2418412729169,19.4772161707505,19.4827853476004,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,21.5208715348938,,,,,19.0824848415513,19.7984739512979,19.2849915682968,17.7349916287969,17.1253469010176,,,,,,,,,,,,
Venezuela,18.104711980291,18.2654995226193,13.6048474140753,13.4499330773933,14.0583041061617,12.9233377725702,13.956445755389,17.4708023247943,12.6968412012029,13.4921408182042,13.286603548683,11.7962760067401,10.950458199406,11.5341551032862,12.9281172002994,15.5137289149198,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",9.28168804660782,11.3988372357096,8.60532611316136,8.43372570951394,7.53490196544572,8.56166498151479,10.7395906788356,10.9364255727263,13.0011034752486,9.20682065155729,,,,,,,,,,,,
Zambia,19.482883667843,17.4938306192652,18.7109261093925,15.0401714418581,18.8343652970956,17.1753149271536,17.7156221568524,17.6627376554657,17.6910695872629,18.4321380583603,,18.6214007328273,17.4250368674306,16.6532433957919,17.5190315060848,17.1716977521992,16.3440590082821,16.8894455784837,17.3943921581481,14.9616540680046,16.5794230184127,
Zimbabwe,21.5669493013052,19.9628673383471,22.0542577887592,22.9686210236478,19.847754219627,23.1574756006715,22.5995893657322,26.0534211212986,,,,,,,,,,,,,,