,CO2 emissions (kg per 2005 PPP $ of GDP),,,
,,,,
,Definition and explanations,,,
,Indicator name,CO2 emissions (kg per 2005 PPP $ of GDP),,
,Definition of indicator,CO2 emissions (kg per 2005 PPP $ of GDP),,
,Unit of measurement,,,
,,,,
,Data source ,,,
,Source organization(s),World Bank,,
,Link to source organization,http://data.worldbank.org/indicator,,
,Complete reference,,,
,Link to complete reference,http://data.worldbank.org/indicator/EN.ATM.CO2E.PP.GD.KD,,
,,,,
,Specific information about this indicator,,,
,Uploader,Gapminder,,
,Time of uploading,3-Jun-12,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,