CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02301330166322,0.03266133508837,0.036038514724004,0.031306457615237,0.028009153539401,0.02586674659971,0.02847997691383,,,
Albania,,,,,,,,,,,,,,,,,,,,,0.456299371607407,0.612678133298636,0.592454734780554,0.611853695813812,0.635389216961802,0.62866118434108,0.608405636554035,0.566623153048343,0.565724677345425,0.631580691978517,0.58214752509008,0.438495607829762,0.284033655611384,0.254377748348517,0.193346158704405,0.184600197166254,0.163552742715178,0.139412239188101,0.140450337603905,0.217769839295556,0.205441367498731,0.204785866767421,0.231091691351567,0.250045804473767,0.220374017162905,0.240065093432153,0.210233441715579,0.210218647277227,0.181931563587982,,,
Algeria,,,,,,,,,,,,,,,,,,,,,0.556157425521095,0.376959029858474,0.299592214305071,0.380910676348504,0.487365616124618,0.481101780233131,0.502167762629357,0.557710433566707,0.562189711724776,0.513468160256297,0.50206563171445,0.524673305424178,0.520477271760863,0.533016299973108,0.563134431772849,0.594932122361539,0.582809780580789,0.526492250575159,0.608210394707298,0.507006274152219,0.473539901094143,0.442446197402572,0.455473026166148,0.433950164041506,0.39894850529572,0.454387464972538,0.446209848354549,0.455168729637782,0.438833310379978,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.162064350157727,0.156297453706872,0.180754072329333,0.150986703726701,0.146837836139839,0.130244397950018,0.129971142081192,0.14124482329234,0.246261769462655,0.159575256295082,0.409106543128347,0.35050495664114,0.228559162648048,0.21187101300112,0.257119866271484,0.260097539059797,0.257213917022246,0.292379043376555,0.202552333946477,0.377698289280843,0.319197390008659,0.312923013920581,0.288085886031741,0.245289667081024,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.277777155710523,0.198448170544173,0.546528880205003,0.150104577495042,0.237852235293323,0.374430623363082,0.332179329489811,0.338410789020514,0.333846711900782,0.315625994325414,0.323576589022058,0.309384059357561,0.306781984487454,0.305646428788524,0.290879324215818,0.314272247926295,0.294429022916469,0.29347349890179,0.278028966733601,0.278760607960709,0.271801923637196,0.265920711901311,0.273172806128182,0.278371903706233,0.27234629986884,0.26375395650671,0.241155524557975,0.22357094703528,0.227551063429422,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.383645723645542,0.381740461049781,0.407092584265448,0.398686705923742,0.39491278598175,0.403560569202761,0.387543329602609,0.415357636108877,0.450476201546214,0.469413690819087,0.462560559701143,0.426614517117445,0.3955218800236,0.364733889353363,0.358397430501854,0.3664915386322,0.366200925766594,0.353039719448942,0.347513280894518,0.380106500750897,0.371512382998446,0.386980372555108,0.406268939078445,0.404365252959833,0.403837967128447,0.379249612507937,0.386178946395984,0.372025788739014,0.364881581650156,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687933047191573,0.600294542693107,0.576667551924442,0.63479901345126,0.447831718085933,0.544996648849234,0.527803547707444,0.458693219335667,0.490785946055854,0.457929609345591,0.343013833801385,0.3433832511924,0.330459325596582,0.346276766590225,0.307967029546198,0.312691305067358,0.320931807234749,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,0.759984682338679,0.766950355558352,0.755090983164228,0.742925337169572,0.746854233653815,0.724323676584189,0.689157710243855,0.717203012048409,0.690750353169647,0.706878200906664,0.705969616850541,0.69337517800085,0.721932759048591,0.711636687731334,0.688659590793161,0.670132571608444,0.688902086781836,0.671362673633077,0.667496750604666,0.59560837058705,0.580152180210767,0.560195024247636,0.566595123050485,0.556803966375329,0.538825377254025,0.550568230152082,0.54863190580859,0.534568764243085,0.539721863241074,,,
Austria,,,,,,,,,,,,,,,,,,,,,0.330016019484351,0.354658507202149,0.333862505420308,0.312940182477344,0.328193786796601,0.321208562353408,0.310379169677313,0.327000940714578,0.293636736917552,0.287171590165054,0.310529816761058,0.324792797395749,0.292855000025736,0.280592186923552,0.271560307549388,0.278101701539124,0.273344270509095,0.268507293493353,0.267943963835154,0.251483090462553,0.242715672646399,0.247850459800677,0.249396302849987,0.274587295015333,0.266923230470595,0.268856450176378,0.25146381986564,0.231320958585044,0.224549172911119,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68872422792521,2.15188340516416,2.62395679840966,2.3575095688779,2.18724895701885,1.96263098080368,1.88114943828199,1.62427703815874,1.52420810980674,1.3366230246998,1.23185332024154,1.15042520106747,1.08079673267753,0.914151057378983,0.774758786191007,0.665560529061865,0.67041358284367,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,1.45675687406199,0.562682839115415,0.425888133329117,0.366459234752846,0.295295697670972,0.229362085991049,0.210547536341419,0.206038896714687,0.21799670734954,0.258237629511623,0.262920824428808,0.250669525707963,0.262249437685293,0.250217007798852,0.243096746401682,0.234388449718451,0.224890146438195,0.22174658573065,0.21800034534695,0.203880654929334,0.195758166263408,0.190749788093976,0.215291210460287,0.195783408977886,0.208530112904901,0.211619311807765,0.209295887968771,0.207373183084572,0.210895989444359,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,1.04240326655316,1.18999437202153,1.48547352456447,1.1679436762827,1.24463321854036,1.44681226797698,1.54459699761849,1.45221691054225,1.4442966578451,1.3887325792484,1.34633595950834,1.17156664089231,1.01094136371399,1.28054577295844,1.29339344216846,1.3070086862017,1.22409058981203,1.31641472398467,1.33497192110382,1.25315784104058,1.23125447346162,0.879357668832306,0.941656388516708,0.921500338363485,0.915380443975151,0.914036156525857,0.929956573853685,0.913410251615602,0.899173966116825,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,0.139980770799373,0.140032846489314,0.148291448479886,0.136547104682034,0.143809367951045,0.156285605753666,0.167910559724508,0.16751336589881,0.187238252017243,0.181236537829687,0.197509809352745,0.196135681928746,0.207903213577542,0.194988856523795,0.204148470082856,0.234020802404082,0.235581802471986,0.233158243972621,0.212530771967171,0.212709238375794,0.221724046428883,0.245261490613627,0.24394171780785,0.23261784207685,0.25714612776822,0.229971191594397,0.267176328325891,0.252579275656106,0.235810637204995,,,
Barbados,,,,,,,,,,,,,,,,,,,,,0.181538808849222,0.190610836371611,0.188858562595254,0.200302132143982,0.211404745793968,0.238171873360425,0.235546997304496,0.239695675010514,0.226473734594507,0.225637058616804,0.25722212542987,0.297489254599042,0.254077445959837,0.286455302037861,0.184878022579538,0.201808631465939,0.203435346910181,0.202746530484102,0.246193400594177,0.254632411674935,0.244353822472536,0.264509881404228,0.275879748226434,0.279329573635927,0.27485018671824,0.278446596550083,0.272888908950997,0.267234480672005,0.267479198741305,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49418007312368,1.37612266990907,1.3797650192793,1.45124797751039,1.36713481037778,1.214213881854,1.08396155063171,1.01594877887213,0.919817646825378,0.863978206530987,0.819270549488848,0.784810616850277,0.76316179099373,0.707165969932715,0.672996063669848,0.603886321692337,0.571018844680758,,,
Belgium,,,,,,,,,,,,,,,,,,,,,0.659964745620515,0.606636579245904,0.57162915469949,0.49263223597761,0.49871267887287,0.48610329809555,0.470177447707845,0.460690626776471,0.428132612273857,0.443079740132852,0.433632822032817,0.461586206023123,0.442235202195605,0.425256003248608,0.428535451192871,0.417334826866536,0.435687200728351,0.408309672244923,0.410536135041505,0.385387429410777,0.371321986759504,0.365334999575802,0.337711992848755,0.357766689581116,0.335720718161456,0.317652931035881,0.308427564903057,0.287706767508901,0.291513389848589,,,
Belize,,,,,,,,,,,,,,,,,,,,,0.390798516345148,0.370979814633868,0.349711247765705,0.357234664205837,0.350374525938719,0.383556421909354,0.394992813190769,0.393211681426139,0.394794882453318,0.420967940944236,0.394445291289843,0.411569574203738,0.363607025367319,0.363295689197552,0.359201231977431,0.360401941011891,0.289779878793406,0.353154628323244,0.324362148709596,0.484174729899695,0.491008156966613,0.482747974554657,0.232031669878413,0.220910494516718,0.215294311662401,0.217004003996887,0.213115525699185,0.219769615352732,0.212158506388109,,,
Benin,,,,,,,,,,,,,,,,,,,,,0.126274091110551,0.095294767350449,0.109145007856164,0.104944333654576,0.108037606316091,0.145684047170076,0.132754581571544,0.104825955859559,0.105511636290317,0.124228937362442,0.134117095412084,0.148428714736837,0.155966536414136,0.188482679296504,0.201625826744093,0.202248942015552,0.182620374758659,0.165560265429555,0.157892106610829,0.194091647120843,0.189911020838973,0.194401952008796,0.219782959087731,0.239108024719053,0.239612530000109,0.249238105639922,0.347845697780032,0.345955043656759,0.345034743592245,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.061769609391363,0.07340263173476,0.060787053039888,0.09884888099189,0.115028183289425,0.0940173038992,0.145970824173061,0.135904158722419,0.072520571496385,0.136856261159934,0.190111203481521,0.21544493611224,0.180470762268125,0.198280594721592,0.219231790030638,0.251983872588417,0.311093914297992,0.286495609230255,0.26808808884141,0.258843332559993,0.250817419093139,0.285308513635238,0.238366961355112,0.22251739821626,0.297265192194898,0.172011324194064,0.20040469049229,0.242360308434639,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,0.23077542619652,0.236287858052162,0.223204126146041,0.229468329068193,0.21656629582767,0.224855735519036,0.211306693025188,0.220041512261295,0.22860688402983,0.255312745549333,0.26890311408928,0.268213774682319,0.303550001822876,0.351978832976673,0.372642711000408,0.376653210918498,0.334511197336492,0.359129892242034,0.358749246241807,0.337942314060644,0.321259575950831,0.293059708031294,0.27027705902012,0.363265967585216,0.32163293221632,0.298342340398843,0.28945267124827,0.345294615245385,0.319811443479334,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804364707792444,0.649722640474781,0.521107638876718,0.902916902500565,1.01385591030029,1.07013246006582,1.2564861378393,1.07256780583968,1.12781335647404,1.09951437981328,1.09739342770471,1.0874523397916,1.09735800637699,1.08388863948682,1.10932268110572,,,
Botswana,,,,,,,,,,,,,,,,,,,,,0.288463230104888,0.270387144587111,0.262975434359729,0.217699905873883,0.203416147078145,0.210540530072366,0.222350065562674,0.230666295404231,0.203246307231403,0.197298024233494,0.226779136984657,0.208196129545814,0.310346828984529,0.324157989973436,0.312809523393908,0.300867242538816,0.253897339107811,0.235844906575394,0.254441763120272,0.224098061966344,0.255195704255619,0.249959103777768,0.237343746152236,0.212372915943289,0.205562253724223,0.209016103101445,0.195905697615469,0.194470292343814,0.197268728949169,,,
Brazil,,,,,,,,,,,,,,,,,,,,,0.203152599284866,0.195129079294078,0.194421601116132,0.19480314079046,0.187467375729961,0.186468398284881,0.189475017659535,0.190843113201289,0.192727063262129,0.190761517777538,0.194548021869716,0.201231976665919,0.203443537940328,0.203211611296796,0.20246492525972,0.220653171239232,0.236139001686932,0.243561888254794,0.238021670444264,0.243517542085277,0.239299495675699,0.243193974661765,0.233614852946971,0.223772176110069,0.222379004046509,0.221128592975773,0.21427960425455,0.211043520748119,0.214218661935426,,,
Brunei,,,,,,,,,,,,,,,,,,,,,0.451184434791044,0.120227698761887,0.164681180478083,0.211783359296563,0.149189999180012,0.205019071995219,0.186631419839524,0.26407467611564,0.449970922099597,0.505039949017592,0.505369588697501,0.443786408868815,0.423093534450132,0.405831207981966,0.380805001294559,0.371647032847206,0.366533362300138,0.3863891526014,0.400081236205754,0.29831046081393,0.411707799041219,0.380451369472116,0.314471258848263,0.307702975432706,0.306368515245704,0.291826187771413,0.262937075057486,0.520475041745274,0.588174169410774,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,1.499773106325,1.48242159152666,1.62506678422716,1.57526190552645,1.47294490317277,1.47015548892387,1.44251433943829,1.36179743053462,1.16970967208988,1.20361097272222,1.18424000105014,0.993556788726783,0.961909281784694,1.26285086382615,0.999143130298377,1.04017836417065,1.08390704552896,1.04351779565694,0.945312019337208,0.799630834234827,0.748567752821728,0.766984568422059,0.704207186391905,0.707436270098824,0.655419925804459,0.631016916626043,0.604939085759558,0.613492367206308,0.552807703054774,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,0.096383788411702,0.11908783957485,0.112269748617797,0.115445793493422,0.092142740946541,0.086916357698323,0.08113070333534,0.087530754171569,0.088603510267758,0.128671537900828,0.092465743660523,0.090604912089799,0.090923177358106,0.087370330768853,0.088757846662273,0.081573283088476,0.082933210696958,0.088918435465383,0.088512789563001,0.089073948224152,0.097788322117527,0.087817812203925,0.084492774222824,0.083910058298235,0.082102691925589,0.07873720288913,0.09018683529781,0.105358002416301,0.113079117908166,,,
Burundi,,,,,,,,,,,,,,,,,,,,,0.082502397300381,0.079072295858953,0.079914272487904,0.10034621150099,0.107346826477777,0.100832851258161,0.102309182542552,0.10725766410153,0.097923271257498,0.113182714499489,0.110689070897026,0.119392841755718,0.109396977768141,0.123383276875527,0.129691587241614,0.137817681200392,0.14815565346435,0.143858304801162,0.130947227548374,0.129056867087706,0.133426573112601,0.09406818605405,0.091589995166026,0.069543519870265,0.064862859666983,0.06574530779832,0.075048151589045,0.067074159236518,0.062902132007241,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061123895591576,0.063352300317796,0.158713698213951,0.170537488495488,0.189101478614664,0.210902736833154,0.185363315541502,0.174974914119538,0.189870224110766,0.192531197566618,0.194044881734468,0.196682841894061,0.184776017980102,0.182585885541269,0.180578545090162,0.175402426036291,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,0.213632183261799,0.249622632977406,0.275674499067609,0.267951158266112,0.22919855649595,0.226733067942573,0.065774186326833,0.062178891797658,0.080387806946424,0.282836347735336,0.068546463437136,0.045552591716193,0.160578371730698,0.170374500423935,0.171126571271423,0.189370957639856,0.190204515265506,0.12646605809145,0.120124285439304,0.110465661879556,0.118128899505514,0.112664308915514,0.10820554548231,0.11550777305266,0.116119667798541,0.106043350624098,0.118530396688236,0.165628727329049,0.138376579617839,,,
Canada,,,,,,,,,,,,,,,,,,,,,0.755322629286235,0.708564821412843,0.701694189436982,0.677802447750337,0.655958069431137,0.618554360917149,0.581940002694917,0.593563083424948,0.596455392372989,0.589297951703465,0.601126816135705,0.612576462518495,0.632408534271528,0.631529925050583,0.573041145060082,0.563885769924239,0.564670207033622,0.559549497770536,0.532683025671881,0.503694064076981,0.538275651527236,0.518734504067494,0.498928775489632,0.519415416944538,0.505872606461605,0.497170062759575,0.471412910114753,0.45745483639656,0.454258418468229,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,0.109682067037314,0.115625202442878,0.104354875850973,0.217425685711783,0.201506659603135,0.13675955688866,0.183245522098847,0.15716202988575,0.163557218320826,0.177178806247352,0.181990185505916,0.197391678621449,0.184378101741524,0.18474546873048,0.177592312933784,0.209315237528478,0.203817049528223,0.204371772911841,0.210590924610793,0.195567297783024,0.205935676316644,0.229919272040386,0.226189562530211,0.226336681373104,0.236090025305642,0.225068600775247,0.209617806933638,0.195062471250816,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,0.048953139688054,0.063437247098111,0.062076625970622,0.069299959316607,0.064880753895196,0.066996968385873,0.064682644812268,0.109797187267538,0.09578744641699,0.101384925775375,0.082278609027655,0.085799946923613,0.096602188416214,0.09954322393599,0.099560336733819,0.09287344643827,0.096743174734592,0.096180444931159,0.093233982505901,0.095287964884764,0.094439305114742,0.086451547207853,0.08695815586414,0.089896652699246,0.089006586830937,0.086920494952087,0.088972086595946,0.087059305336665,0.087826238688594,,,
Chad,,,,,,,,,,,,,,,,,,,,,0.070564456317735,0.069836122757514,0.065128748113615,0.056301409074988,0.058126600704096,0.03963669853385,0.043010050212975,0.04665454080318,0.013466570761314,0.019972400121579,0.02977619004977,0.013031439073398,0.0152412455204,0.020342114202551,0.019153914998828,0.018919960359069,0.019171133643561,0.019396708747966,0.018135972149954,0.019438772570865,0.028525511798278,0.025014953357667,0.022566547416443,0.0444728721047,0.032960753855639,0.029728155234437,0.030213199573537,0.034227609162447,0.036819717257365,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.421138638303616,0.390768809350098,0.365860347385463,0.384385034087404,0.379240480882084,0.342924724008611,0.335992753369864,0.321234015900175,0.355509124275863,0.386755925408608,0.401934231524663,0.351887597994146,0.324101874098022,0.322213263094371,0.337217550848622,0.331133712856237,0.350090149722539,0.378316158427299,0.378888697776988,0.402751179565603,0.372250799560761,0.323681459809028,0.328804773742378,0.318314945017371,0.332241936340542,0.321657690435608,0.31666188468238,0.323012175671914,0.324983064434529,,,
China,,,,,,,,,,,,,,,,,,,,,2.85380289101843,2.68372861102346,2.67808988205984,2.54746417265681,2.40750438923311,2.29838239728911,2.22249933639488,2.1269556741351,2.04920454960647,2.00092829432267,1.96945760899837,1.8942640993459,1.73024840009571,1.62062341703324,1.52228425053912,1.49027987909529,1.41306922811704,1.29523257198302,1.15124265539439,1.06790405733552,1.01101907688443,0.956122010868911,0.928306613499239,1.03373441010066,1.09721355493913,1.07937102454725,1.06102913989872,0.983753040865412,0.929317318456506,,,
Colombia,,,,,,,,,,,,,,,,,,,,,0.311592546260786,0.305401917868893,0.312438872878353,0.33124557024346,0.317450589985693,0.304159612393932,0.291672669376865,0.284618303807281,0.284122526574588,0.278863737753584,0.283245332077861,0.275893809401515,0.285338073444134,0.287606576972322,0.286814722275878,0.24051086043813,0.239275705733669,0.248089615329898,0.250753638825958,0.224208109018198,0.220080941648501,0.210282179110709,0.202913640274304,0.201436810495694,0.179087608029082,0.188230033823926,0.183520195784379,0.176909335546661,0.182325197343058,,,
Comoros,,,,,,,,,,,,,,,,,,,,,0.120230379704453,0.115756482872427,0.108810434556667,0.103805922046213,0.099707673151617,0.112482300460992,0.103059147832108,0.115883718235409,0.119904007993996,0.12384305344673,0.145571003959197,0.153873395188248,0.141778389348571,0.13764098732594,0.145308452329551,0.146923764314999,0.121783390208994,0.117065261356469,0.128425250167418,0.138600922041248,0.142875204069674,0.144283665309822,0.144307565509223,0.152088560261771,0.158100807663147,0.162519340310822,0.176577911010447,0.175715165467946,0.179291901898794,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,0.166431626958608,0.175379828487037,0.143343718385971,0.185203380139576,0.172763006472154,0.157960025466665,0.139907022975361,0.1554945501943,0.161393098654328,0.178675380080645,0.177188966126079,0.178491689050909,0.192226032156024,0.209317976815257,0.158324043748454,0.188156503412765,0.20819529248368,0.198676505149205,0.174877198729815,0.162057149284288,0.127498435364098,0.123852037203465,0.118018395734195,0.122686889624696,0.154556711463952,0.150775143310352,0.149032937751975,0.145483249079043,0.151165020219694,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,0.076708504570025,0.075793174537427,0.174460078057229,0.140112689950106,0.13055586273586,0.148265957448661,0.132733300144442,0.164351030244526,0.182972030725048,0.179207583606194,0.139874382785691,0.145449526370392,0.176280042977931,0.174740171160813,0.257380990838735,0.180332244500098,0.189499059024131,0.260300905252927,0.083278314135395,0.090341048227154,0.107199033262106,0.084858498782607,0.066627436902661,0.101374091841371,0.171736367886381,0.134446736685425,0.115393248046444,0.127543402893365,0.146981160266468,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,0.164883572117374,0.154138634438023,0.15406644597409,0.151094457873327,0.135331159167199,0.15159826341408,0.164873732168139,0.163163042294806,0.167609965610328,0.161318983494953,0.154299159801847,0.169840572309468,0.176802673656189,0.171604008235574,0.218421812331988,0.194091864002698,0.187746876397771,0.186753031401963,0.183686018534296,0.176285565547198,0.171672315848746,0.178717414817176,0.190701977981321,0.187743193697823,0.188344270252031,0.178156277882038,0.175457066543201,0.177466692824373,0.170578879503474,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,0.279402042648504,0.193754848724792,0.264489845253059,0.218064834208863,0.250266072426707,0.324622489919758,0.256000781955101,0.330792753369855,0.38999275805349,0.35243765054708,0.242417397920174,0.235574394451449,0.193745987337217,0.247383235069362,0.218669691673618,0.277249854041634,0.302345825366339,0.278980952915373,0.225222381041764,0.201004823891183,0.226193455764995,0.257392448704734,0.246256633014609,0.187453137259123,0.258477496881602,0.260645504374189,0.236189964231322,0.207639826907992,0.222958422503508,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36883615703175,0.400662641613108,0.388751958820833,0.38006958818339,0.377279101157951,0.36897307358079,0.382861610699523,0.388286164360858,0.358779347787878,0.364991648439643,0.367543802757349,0.375352664449918,0.352890857041968,0.339269165344471,0.324287814725782,0.324542391981911,0.303788652667014,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,0.559926941614329,0.51871458032607,0.498084448756864,0.47119285801244,0.44504192722637,0.413569370230288,0.4558365801613,0.494880659872926,0.456305503956485,0.444484611711979,0.443553687245106,0.448624828853139,0.456381732546412,0.486593689057906,0.471380154787768,0.43699126846831,0.445571516726296,0.447985558049216,0.463595565606709,0.449733431626628,0.434186301898944,0.41716084312179,0.419121108440666,0.453681308924471,0.412012846598612,0.40562918988753,0.40440988628854,0.404777041515343,0.407738542448968,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938069957996601,0.886816151932113,0.839454569823049,0.803407723732647,0.790721528330894,0.781713548674273,0.760048716443273,0.668781899385586,0.718553796870923,0.699964929296356,0.663669891934828,0.652242044806428,0.62593031385,0.579277708949494,0.55156309478585,0.524604775259858,0.483286227505998,,,
